season,week,game_id,game_date,season_type,posteam,home_team,away_team,passer_player_name,receiver_player_name,passing_yards,pass_touchdown,first_down
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,D.Stallworth,3,0,0
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,K.Faulk,6,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,K.Faulk,7,0,0
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,W.Welker,19,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,K.Faulk,9,0,0
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,W.Welker,7,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,W.Welker,6,0,0
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,W.Welker,8,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,K.Faulk,11,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,K.Faulk,3,0,0
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,L.Maroney,25,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,M.Vrabel,2,1,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,K.Brady,19,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,K.Faulk,9,0,0
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,K.Faulk,12,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,W.Welker,15,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,W.Welker,10,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,R.Moss,6,1,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,D.Stallworth,22,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,L.Maroney,12,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,D.Stallworth,4,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,W.Welker,11,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,J.Gaffney,7,0,0
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,J.Gaffney,4,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,R.Moss,6,0,0
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,W.Welker,11,0,0
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,D.Stallworth,15,0,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,R.Moss,35,0,1
