season,week,game_id,game_date,posteam,home_team,away_team,opponent,home_away,passer_player_name,receiver_player_name,receptions,rec_yards,rec_tds,first_downs,total_air_yards,total_yac
2006,15,2006_15_HOU_NE,2006-12-17,NE,NE,HOU,HOU,home,T.Brady,K.Faulk,2.0,46.0,1.0,1.0,9.0,37.0
2006,15,2006_15_HOU_NE,2006-12-17,NE,NE,HOU,HOU,home,T.Brady,R.Caldwell,5.0,19.0,0.0,3.0,12.0,7.0
2006,15,2006_15_HOU_NE,2006-12-17,NE,NE,HOU,HOU,home,T.Brady,T.Brown,1.0,4.0,0.0,0.0,-1.0,5.0
2006,16,2006_16_NE_JAX,2006-12-24,NE,JAX,NE,JAX,away,T.Brady,B.Childress,2.0,7.0,0.0,1.0,5.0,2.0
2006,16,2006_16_NE_JAX,2006-12-24,NE,JAX,NE,JAX,away,T.Brady,C.Jackson,1.0,-2.0,0.0,0.0,-2.0,0.0
2006,16,2006_16_NE_JAX,2006-12-24,NE,JAX,NE,JAX,away,T.Brady,D.Graham,3.0,44.0,0.0,2.0,26.0,18.0
2006,16,2006_16_NE_JAX,2006-12-24,NE,JAX,NE,JAX,away,T.Brady,D.Thomas,5.0,83.0,1.0,2.0,43.0,40.0
2006,16,2006_16_NE_JAX,2006-12-24,NE,JAX,NE,JAX,away,T.Brady,H.Evans,1.0,1.0,0.0,0.0,-4.0,5.0
2006,16,2006_16_NE_JAX,2006-12-24,NE,JAX,NE,JAX,away,T.Brady,J.Gaffney,3.0,26.0,0.0,3.0,19.0,7.0
2006,16,2006_16_NE_JAX,2006-12-24,NE,JAX,NE,JAX,away,T.Brady,K.Faulk,2.0,12.0,0.0,0.0,5.0,7.0
2006,16,2006_16_NE_JAX,2006-12-24,NE,JAX,NE,JAX,away,T.Brady,K.Kight,1.0,9.0,0.0,0.0,6.0,3.0
2006,16,2006_16_NE_JAX,2006-12-24,NE,JAX,NE,JAX,away,T.Brady,L.Maroney,2.0,10.0,0.0,0.0,2.0,8.0
2006,16,2006_16_NE_JAX,2006-12-24,NE,JAX,NE,JAX,away,T.Brady,R.Caldwell,4.0,15.0,0.0,0.0,13.0,2.0
2006,16,2006_16_NE_JAX,2006-12-24,NE,JAX,NE,JAX,away,T.Brady,T.Brown,4.0,44.0,0.0,2.0,18.0,26.0
2006,17,2006_17_NE_TEN,2006-12-31,NE,TEN,NE,TEN,away,T.Brady,C.Dillon,2.0,59.0,0.0,1.0,-9.0,68.0
2006,17,2006_17_NE_TEN,2006-12-31,NE,TEN,NE,TEN,away,T.Brady,C.Jackson,1.0,0.0,0.0,0.0,0.0,0.0
2006,17,2006_17_NE_TEN,2006-12-31,NE,TEN,NE,TEN,away,T.Brady,D.Graham,1.0,6.0,0.0,0.0,5.0,1.0
2006,17,2006_17_NE_TEN,2006-12-31,NE,TEN,NE,TEN,away,T.Brady,H.Evans,2.0,14.0,0.0,0.0,5.0,9.0
2006,17,2006_17_NE_TEN,2006-12-31,NE,TEN,NE,TEN,away,T.Brady,J.Gaffney,1.0,9.0,0.0,1.0,6.0,3.0
2006,17,2006_17_NE_TEN,2006-12-31,NE,TEN,NE,TEN,away,T.Brady,L.Maroney,2.0,-4.0,0.0,0.0,-4.0,0.0
2006,17,2006_17_NE_TEN,2006-12-31,NE,TEN,NE,TEN,away,T.Brady,R.Caldwell,4.0,134.0,1.0,3.0,109.0,25.0
2006,17,2006_17_NE_TEN,2006-12-31,NE,TEN,NE,TEN,away,T.Brady,T.Brown,2.0,7.0,0.0,1.0,4.0,3.0
2006,17,2006_17_NE_TEN,2006-12-31,NE,TEN,NE,TEN,away,V.Testaverde,C.Jackson,1.0,23.0,0.0,1.0,5.0,18.0
2006,17,2006_17_NE_TEN,2006-12-31,NE,TEN,NE,TEN,away,V.Testaverde,T.Brown,1.0,6.0,1.0,1.0,6.0,0.0
2007,1,2007_01_NE_NYJ,2007-09-09,NE,NYJ,NE,NYJ,away,T.Brady,B.Watson,2.0,9.0,1.0,2.0,9.0,0.0
2007,1,2007_01_NE_NYJ,2007-09-09,NE,NYJ,NE,NYJ,away,T.Brady,D.Stallworth,1.0,19.0,0.0,1.0,14.0,5.0
2007,1,2007_01_NE_NYJ,2007-09-09,NE,NYJ,NE,NYJ,away,T.Brady,J.Gaffney,1.0,5.0,0.0,1.0,5.0,0.0
2007,1,2007_01_NE_NYJ,2007-09-09,NE,NYJ,NE,NYJ,away,T.Brady,K.Faulk,1.0,9.0,0.0,1.0,1.0,8.0
2007,1,2007_01_NE_NYJ,2007-09-09,NE,NYJ,NE,NYJ,away,T.Brady,R.Moss,9.0,183.0,1.0,8.0,107.0,76.0
2007,1,2007_01_NE_NYJ,2007-09-09,NE,NYJ,NE,NYJ,away,T.Brady,S.Morris,2.0,11.0,0.0,0.0,2.0,9.0
2007,1,2007_01_NE_NYJ,2007-09-09,NE,NYJ,NE,NYJ,away,T.Brady,W.Welker,6.0,61.0,1.0,3.0,8.0,53.0
2007,2,2007_02_SD_NE,2007-09-16,NE,NE,LAC,LAC,home,T.Brady,B.Watson,5.0,49.0,1.0,3.0,25.0,24.0
2007,2,2007_02_SD_NE,2007-09-16,NE,NE,LAC,LAC,home,T.Brady,D.Stallworth,2.0,19.0,0.0,1.0,14.0,5.0
2007,2,2007_02_SD_NE,2007-09-16,NE,NE,LAC,LAC,home,T.Brady,J.Gaffney,1.0,6.0,0.0,0.0,5.0,1.0
2007,2,2007_02_SD_NE,2007-09-16,NE,NE,LAC,LAC,home,T.Brady,K.Faulk,1.0,9.0,0.0,0.0,2.0,7.0
2007,2,2007_02_SD_NE,2007-09-16,NE,NE,LAC,LAC,home,T.Brady,R.Moss,8.0,105.0,2.0,5.0,81.0,24.0
2007,2,2007_02_SD_NE,2007-09-16,NE,NE,LAC,LAC,home,T.Brady,W.Welker,8.0,91.0,0.0,4.0,53.0,38.0
2007,3,2007_03_BUF_NE,2007-09-23,NE,NE,BUF,BUF,home,T.Brady,B.Watson,2.0,17.0,1.0,1.0,13.0,4.0
2007,3,2007_03_BUF_NE,2007-09-23,NE,NE,BUF,BUF,home,T.Brady,D.Stallworth,1.0,28.0,0.0,1.0,26.0,2.0
2007,3,2007_03_BUF_NE,2007-09-23,NE,NE,BUF,BUF,home,T.Brady,D.Thomas,1.0,9.0,0.0,1.0,6.0,3.0
2007,3,2007_03_BUF_NE,2007-09-23,NE,NE,BUF,BUF,home,T.Brady,J.Gaffney,2.0,15.0,1.0,2.0,10.0,5.0
2007,3,2007_03_BUF_NE,2007-09-23,NE,NE,BUF,BUF,home,T.Brady,K.Brady,1.0,20.0,0.0,1.0,17.0,3.0
2007,3,2007_03_BUF_NE,2007-09-23,NE,NE,BUF,BUF,home,T.Brady,K.Faulk,5.0,38.0,0.0,1.0,-1.0,39.0
2007,3,2007_03_BUF_NE,2007-09-23,NE,NE,BUF,BUF,home,T.Brady,R.Moss,5.0,104.0,2.0,3.0,82.0,22.0
2007,3,2007_03_BUF_NE,2007-09-23,NE,NE,BUF,BUF,home,T.Brady,W.Welker,6.0,80.0,0.0,4.0,34.0,35.0
2007,4,2007_04_NE_CIN,2007-10-01,NE,CIN,NE,CIN,away,T.Brady,B.Watson,2.0,12.0,0.0,0.0,11.0,1.0
2007,4,2007_04_NE_CIN,2007-10-01,NE,CIN,NE,CIN,away,T.Brady,D.Stallworth,4.0,49.0,0.0,2.0,14.0,35.0
2007,4,2007_04_NE_CIN,2007-10-01,NE,CIN,NE,CIN,away,T.Brady,K.Faulk,3.0,39.0,0.0,1.0,10.0,29.0
2007,4,2007_04_NE_CIN,2007-10-01,NE,CIN,NE,CIN,away,T.Brady,L.Mankins,1.0,-9.0,0.0,0.0,-9.0,0.0
2007,4,2007_04_NE_CIN,2007-10-01,NE,CIN,NE,CIN,away,T.Brady,M.Vrabel,1.0,1.0,1.0,1.0,1.0,0.0
2007,4,2007_04_NE_CIN,2007-10-01,NE,CIN,NE,CIN,away,T.Brady,R.Moss,9.0,102.0,2.0,6.0,54.0,48.0
2007,4,2007_04_NE_CIN,2007-10-01,NE,CIN,NE,CIN,away,T.Brady,S.Morris,2.0,15.0,0.0,1.0,-5.0,20.0
2007,4,2007_04_NE_CIN,2007-10-01,NE,CIN,NE,CIN,away,T.Brady,W.Welker,3.0,22.0,0.0,2.0,11.0,11.0
2007,5,2007_05_CLE_NE,2007-10-07,NE,NE,CLE,CLE,home,T.Brady,B.Watson,6.0,107.0,2.0,5.0,69.0,38.0
2007,5,2007_05_CLE_NE,2007-10-07,NE,NE,CLE,CLE,home,T.Brady,D.Stallworth,4.0,65.0,1.0,3.0,30.0,35.0
2007,5,2007_05_CLE_NE,2007-10-07,NE,NE,CLE,CLE,home,T.Brady,J.Gaffney,1.0,5.0,0.0,0.0,5.0,0.0
2007,5,2007_05_CLE_NE,2007-10-07,NE,NE,CLE,CLE,home,T.Brady,K.Brady,1.0,7.0,0.0,0.0,4.0,3.0
2007,5,2007_05_CLE_NE,2007-10-07,NE,NE,CLE,CLE,home,T.Brady,K.Faulk,1.0,7.0,0.0,1.0,2.0,5.0
2007,5,2007_05_CLE_NE,2007-10-07,NE,NE,CLE,CLE,home,T.Brady,R.Moss,3.0,46.0,0.0,3.0,41.0,5.0
2007,5,2007_05_CLE_NE,2007-10-07,NE,NE,CLE,CLE,home,T.Brady,S.Morris,2.0,9.0,0.0,0.0,5.0,4.0
2007,5,2007_05_CLE_NE,2007-10-07,NE,NE,CLE,CLE,home,T.Brady,W.Welker,4.0,19.0,0.0,0.0,12.0,7.0
2007,6,2007_06_NE_DAL,2007-10-14,NE,DAL,NE,DAL,away,T.Brady,B.Watson,1.0,28.0,0.0,1.0,23.0,5.0
2007,6,2007_06_NE_DAL,2007-10-14,NE,DAL,NE,DAL,away,T.Brady,D.Stallworth,7.0,136.0,1.0,4.0,59.0,77.0
2007,6,2007_06_NE_DAL,2007-10-14,NE,DAL,NE,DAL,away,T.Brady,J.Gaffney,2.0,16.0,0.0,1.0,12.0,4.0
2007,6,2007_06_NE_DAL,2007-10-14,NE,DAL,NE,DAL,away,T.Brady,K.Brady,1.0,1.0,1.0,1.0,1.0,0.0
2007,6,2007_06_NE_DAL,2007-10-14,NE,DAL,NE,DAL,away,T.Brady,K.Faulk,3.0,24.0,0.0,2.0,-1.0,25.0
2007,6,2007_06_NE_DAL,2007-10-14,NE,DAL,NE,DAL,away,T.Brady,R.Moss,6.0,59.0,1.0,3.0,37.0,22.0
2007,6,2007_06_NE_DAL,2007-10-14,NE,DAL,NE,DAL,away,T.Brady,W.Welker,11.0,124.0,2.0,7.0,62.0,47.0
2007,7,2007_07_NE_MIA,2007-10-21,NE,MIA,NE,MIA,away,M.Gutierrez,D.Stallworth,1.0,15.0,0.0,1.0,4.0,11.0
2007,7,2007_07_NE_MIA,2007-10-21,NE,MIA,NE,MIA,away,T.Brady,D.Stallworth,2.0,36.0,1.0,1.0,11.0,25.0
